53050;19;25;9;29;33
53049;9;8;14;19;23
53048;2;17;9;14;29
53047;24;32;22;33;19
53046;17;11;1;2;5
53045;36;24;35;5;31
53044;8;11;20;33;24
53043;29;36;35;15;13
53042;15;20;33;11;10
53041;26;14;34;11;17
53040;25;26;7;6;31
53039;31;9;30;18;20
53038;13;36;28;11;12
53037;32;36;5;4;30
53036;23;12;5;34;20
53035;10;5;6;17;7
53034;24;5;26;17;15
53033;19;23;1;29;36
53032;18;26;24;32;36
53031;33;31;27;32;3
53030;27;36;31;4;7
53029;28;17;25;3;15
53028;19;12;36;32;21
53027;28;7;4;29;25
53026;11;9;8;15;10
53025;31;12;8;34;16
53024;28;26;8;18;5
53023;9;34;24;35;14
53022;10;24;30;22;34
53021;24;26;20;19;5
53020;9;20;4;27;11
53019;14;18;12;15;20
53018;26;36;9;3;18
53017;28;6;9;30;2
53016;9;8;35;18;20
53015;36;31;25;14;30
53014;1;32;16;34;8
53013;9;11;1;5;12
53012;10;16;1;7;31
53011;23;28;19;3;33
53010;20;21;13;18;26
53009;23;7;29;3;22
53008;31;2;3;4;13
53007;21;29;27;11;17
53006;6;14;25;33;35
53005;15;1;28;2;24
53004;13;24;19;17;8
53003;15;29;1;13;4
53002;17;6;15;8;28
53001;30;24;6;1;33
53000;3;28;26;15;35
52999;3;5;9;8;25
52998;14;20;13;19;35
52997;10;20;28;6;3
52996;34;11;16;15;26
52995;36;7;10;24;18
52994;15;1;8;16;10
52993;27;23;24;11;22
52992;15;23;2;35;17
52991;18;15;35;27;2
52990;18;30;26;6;34
52989;20;34;10;2;17
52988;1;15;34;24;2
52987;32;22;5;36;13
52986;28;16;4;21;10
52985;3;11;33;15;10
52984;32;13;2;36;30
52983;36;23;14;19;3
52982;33;9;1;31;7
52981;28;18;5;23;27
52980;15;32;34;28;31
52979;15;5;4;13;24
52978;6;36;2;26;32
52977;29;33;26;28;18
52976;23;7;29;28;30
52975;9;20;10;27;17
52974;24;28;25;16;13
52973;3;35;19;10;4
52972;31;28;33;3;4
52971;3;33;18;8;14
52970;5;26;16;18;24
52969;10;26;19;12;7
52968;28;20;21;25;34
52967;34;9;15;36;6
52966;7;5;13;30;27
52965;33;19;28;7;35
52964;36;7;21;35;27
52963;3;27;15;30;11
52962;5;3;32;23;11
52961;27;4;1;2;10
52960;29;3;28;8;20
52959;24;31;20;23;35
52958;23;36;14;1;13
52957;17;8;31;10;11
52956;4;12;18;8;17
52955;15;28;9;3;8
52954;23;6;27;25;30
52953;26;27;5;10;9
52952;7;29;12;5;28
52951;32;10;18;22;33
52950;20;1;9;34;8
52949;16;29;14;10;25
52948;20;26;17;30;36
52947;9;33;30;32;22
52946;3;23;32;35;12
52945;36;17;11;32;6
52944;24;4;14;12;10
52943;26;28;16;19;31
52942;36;7;6;19;29
52941;14;29;10;35;24
52940;6;11;12;32;8
52939;29;7;32;13;9
52938;6;11;19;28;9
52937;35;1;4;29;2
52936;19;1;5;21;36
52935;15;29;28;33;17
52934;17;4;24;9;19
52933;22;28;36;35;11
52932;15;9;2;25;17
52931;29;14;9;21;36
